Age,Income,LoanAmount,CreditHistory,EmploymentYears,Dependents,MaritalStatus,Creditworthy
25,35000,5000,1,2,0,Single,1
45,85000,12000,1,15,2,Married,1
35,45000,15000,0,5,1,Married,0
23,28000,3000,1,1,0,Single,1
50,92000,20000,1,20,3,Married,1
29,38000,8000,0,3,1,Single,0
41,62000,10000,1,10,2,Married,1
33,48000,7000,1,6,1,Married,1
27,32000,9000,0,2,0,Single,0
55,100000,25000,1,25,4,Married,1
38,54000,11000,1,8,2,Married,1
31,42000,6000,0,4,1,Single,0
46,78000,13000,1,18,2,Married,1
24,30000,4000,1,1,0,Single,1
52,88000,22000,0,22,3,Married,0
36,51000,9500,1,7,1,Married,1
28,36000,8500,0,3,0,Single,0
44,70000,14000,1,14,2,Married,1
39,58000,10500,1,9,2,Married,1
34,46000,7500,0,5,1,Single,0
